"","FIPS","nonprof"
"1",1109,1
"2",4007,1
"3",4013,6
"4",6013,2
"5",6023,1
"6",6025,1
"7",6037,5
"8",6055,1
"9",6059,4
"10",6063,1
"11",6065,6
"12",6067,1
"13",6071,2
"14",6073,5
"15",6077,1
"16",6081,1
"17",6083,1
"18",6089,1
"19",6095,1
"20",6097,2
"21",6111,1
"22",8097,1
"23",9009,1
"24",11001,5
"25",12086,1
"26",12099,1
"27",13089,1
"28",16001,2107
"29",16003,30
"30",16005,311
"31",16007,14
"32",16009,63
"33",16011,126
"34",16013,217
"35",16015,38
"36",16017,268
"37",16019,337
"38",16021,75
"39",16023,21
"40",16025,9
"41",16027,608
"42",16029,37
"43",16031,87
"44",16033,4
"45",16035,77
"46",16037,50
"47",16039,97
"48",16041,36
"49",16043,47
"50",16045,54
"51",16047,62
"52",16049,103
"53",16051,56
"54",16053,74
"55",16055,629
"56",16057,294
"57",16059,68
"58",16061,51
"59",16063,21
"60",16065,66
"61",16067,70
"62",16069,206
"63",16071,18
"64",16073,50
"65",16075,88
"66",16077,28
"67",16079,114
"68",16081,54
"69",16083,347
"70",16085,102
"71",16087,51
"72",17031,3
"73",17043,2
"74",17161,1
"75",20045,1
"76",20191,1
"77",22033,1
"78",24005,1
"79",24031,2
"80",24043,1
"81",25017,1
"82",26065,1
"83",26081,1
"84",26115,1
"85",27053,1
"86",27171,1
"87",29095,2
"88",30083,1
"89",30111,2
"90",31055,1
"91",32003,2
"92",32007,1
"93",32031,1
"94",34019,1
"95",35001,1
"96",36005,1
"97",36059,1
"98",36061,1
"99",37025,1
"100",37067,1
"101",37129,1
"102",37135,2
"103",37183,3
"104",40109,1
"105",41029,1
"106",41035,1
"107",41043,2
"108",41045,3
"109",41051,4
"110",41053,2
"111",41059,1
"112",41067,2
"113",42029,1
"114",42069,1
"115",42101,1
"116",45091,1
"117",46099,1
"118",46127,1
"119",47187,2
"120",48043,2
"121",48121,1
"122",48141,1
"123",48491,1
"124",49005,2
"125",49011,1
"126",49035,6
"127",49041,1
"128",50007,1
"129",51013,1
"130",51810,1
"131",53003,4
"132",53007,1
"133",53009,1
"134",53013,1
"135",53019,1
"136",53033,5
"137",53037,1
"138",53053,1
"139",53057,2
"140",53061,1
"141",53063,14
"142",53075,5
"143",53077,1
"144",55025,2
"145",56039,4
"146",NA,1653
